id,dataset,x,y
0,1,10.0,8.04
1,1,8.0,6.95
2,1,13.0,7.58
3,1,9.0,8.81
4,1,11.0,8.33
5,1,14.0,9.96
6,1,6.0,7.24
7,1,4.0,4.26
8,1,12.0,10.84
9,1,7.0,4.82
10,1,5.0,5.68
11,2,10.0,9.14
12,2,8.0,8.14
13,2,13.0,8.74
14,2,9.0,8.77
15,2,11.0,9.26
16,2,14.0,8.1
17,2,6.0,6.13
18,2,4.0,3.1
19,2,12.0,9.13
20,2,7.0,7.26
21,2,5.0,4.74
22,3,10.0,7.46
23,3,8.0,6.77
24,3,13.0,12.74
25,3,9.0,7.11
26,3,11.0,7.81
27,3,14.0,8.84
28,3,6.0,6.08
29,3,4.0,5.39
30,3,12.0,8.15
31,3,7.0,6.42
32,3,5.0,5.73
33,4,8.0,6.58
34,4,8.0,5.76
35,4,8.0,7.71
36,4,8.0,8.84
37,4,8.0,8.47
38,4,8.0,7.04
39,4,8.0,5.25
40,4,19.0,12.5
41,4,8.0,5.56
42,4,8.0,7.91
43,4,8.0,6.89